Cities,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph)
Panama City,30.16,-85.65,69.8,94,90,3.36
Pangody,65.85,74.49,15.09,86,88,19.86
Paracuru,-3.41,-39.03,80.6,78,75,10.29
Penzance,50.12,-5.53,46.4,100,88,14.99
Petropavlovsk-Kamchatskiy,53.05,158.65,12.2,61,40,6.71
Pevek,69.7,170.27,-10.93,90,24,26.98
Pisco,-13.71,-76.2,68.0,82,0,10.29
Pochutla,15.74,-96.47,78.8,78,20,3.36
Pomorie,42.57,27.62,28.4,86,0,10.29
Ponta do Sol,-20.63,-46.0,62.25,91,12,2.98
Poole,50.72,-1.98,46.99,93,88,8.05
Porbandar,21.64,69.61,68.0,64,0,5.99
Port Alfred,-33.59,26.89,68.82,92,32,2.75
Port Augusta,-32.49,137.76,73.4,53,20,27.51
Port Blair,11.67,92.75,82.86,99,0,13.94
Port Elizabeth,39.31,-74.98,45.81,87,40,10.29
Port Hawkesbury,45.62,-61.36,39.2,100,90,8.05
Port Lincoln,-34.72,135.86,67.11,81,64,18.14
Port Macquarie,-31.43,152.91,89.6,52,40,12.75
Port-Gentil,-0.72,8.78,76.92,100,88,1.3
Portland,45.52,-122.67,32.0,59,40,16.11
Poso,-1.4,120.75,83.53,100,36,7.07
Powell River,49.84,-124.52,22.73,73,40,0.85
Praia,-20.25,-43.81,73.4,64,0,3.36
Preobrazheniye,42.9,133.91,26.97,84,76,2.19
Pringsewu,-5.36,104.98,83.71,77,0,5.1
Provideniya,64.42,-173.23,24.27,100,92,23.73
Provost,52.35,-110.26,12.16,81,44,10.42
Puerto Ayora,-0.74,-90.35,70.66,98,76,8.12
Puerto Baquerizo Moreno,-0.9,-89.6,71.65,100,68,7.74
Puerto Boyaca,5.98,-74.59,75.3,86,88,1.3
Puerto Escondido,15.86,-97.07,78.8,78,20,3.36
Punta Arenas,-53.16,-70.91,50.0,66,75,26.4
Puyang,35.76,115.02,47.35,31,0,15.05
Qaanaaq,77.48,-69.36,-8.77,96,0,12.55
Qinzhou,21.96,108.62,70.26,57,0,13.67
Rafsanjan,30.4,55.99,55.63,33,0,4.61
Ribeira Grande,38.52,-28.7,64.81,99,64,14.9
Richards Bay,-28.77,32.06,72.73,93,36,8.52
Rikitea,-23.12,-134.97,77.73,100,44,9.91
Rio Brilhante,-21.8,-54.54,74.13,87,56,8.9
Rio Gallegos,-51.62,-69.22,53.6,40,40,13.87
Riyadh,24.63,46.72,48.2,45,0,4.05
Roald,62.58,6.12,39.97,80,92,14.99
Roebourne,-20.77,117.15,103.6,22,0,14.56
Rohtak,28.9,76.58,64.4,55,0,4.61
Rome,41.89,12.48,41.7,52,0,4.7
Rosetta,31.4,30.42,57.2,93,40,13.87
Rundu,-17.91,19.77,71.6,94,92,1.12
Ruteng,-8.61,120.46,76.78,100,80,2.86
Ryotsu,38.08,138.43,50.0,57,0,9.17
Sabang,13.72,123.58,81.42,93,64,6.89
Saint George,39.45,22.34,35.6,69,20,10.29
Saint-Augustin,44.83,-0.61,46.4,81,90,6.93
Saint-Georges,46.12,-70.67,25.8,93,80,8.79
Saint-Michel-des-Saints,46.68,-73.92,13.33,84,56,7.4
Saint-Philippe,45.36,-73.48,19.83,85,1,13.87
Sal Rei,16.18,-22.92,68.0,68,75,17.22
Salalah,17.01,54.1,77.0,23,0,19.46
Saldanha,41.42,-6.55,20.26,87,0,2.59
Salinopolis,-0.61,-47.36,78.72,100,68,9.01
Salisbury,51.07,-1.8,46.4,93,88,8.05
Samana,0.12,-76.97,71.25,96,24,2.19
San Cristobal,-0.39,-78.55,53.6,93,40,4.7
San Jose,15.79,120.99,83.8,71,8,5.55
San Juan,18.47,-66.12,73.29,74,20,13.87
San Patricio,-26.98,-56.83,71.16,96,92,9.57
San Quintin,17.54,120.52,86.0,74,40,6.93
Sanok,49.56,22.21,48.2,81,90,25.28
Santa Elena,-2.23,-80.86,72.46,100,76,9.57
Santa Fe,-31.62,-60.7,58.06,87,0,11.32
Sao Filipe,14.9,-24.5,72.55,98,0,20.04
Sao Joao da Barra,-21.64,-41.05,77.82,99,8,26.08
Sao Joao do Piaui,-8.36,-42.25,70.93,88,56,2.82
Sarany,58.55,58.76,14.05,81,76,10.31
Saskylakh,71.97,114.09,-20.42,60,20,9.75
Seddon,-41.67,174.07,68.01,76,0,12.1
Semporna,4.48,118.61,84.2,89,75,4.7
Senanga,-16.1,23.3,71.16,96,20,8.08
Seoul,37.57,126.98,39.58,86,90,9.17
Severo-Kurilsk,50.68,156.12,25.75,100,64,14.56
Shimanovsk,52.0,127.67,-9.49,50,12,4.09
Shimoda,34.7,138.93,57.2,58,75,4.7
Sioux Lookout,50.1,-91.92,1.24,71,90,11.41
Sitka,37.17,-99.65,25.26,86,88,12.55
Skjervoy,70.03,20.97,35.07,100,68,13.04
Sola,62.78,29.36,26.6,92,75,9.17
Sorong,-0.86,131.25,84.93,99,32,13.33
Souillac,45.6,-0.6,45.41,81,90,3.36
Staraya Kulatka,52.73,47.62,21.43,92,76,10.87
Sterling,39.0,-77.4,44.96,70,90,4.7
Sumbe,-11.2,13.84,74.08,100,64,2.26
Sur,22.57,59.53,74.49,88,0,2.98
Sycamore,41.99,-88.69,18.7,78,1,3.71
Szihalom,47.77,20.48,41.1,86,12,8.41
Tabou,4.42,-7.36,80.43,99,0,3.31
Tabuk,17.41,121.44,75.84,80,64,2.53
Tagusao,9.19,117.81,79.66,98,68,12.59
Tahoua,14.89,5.26,60.85,39,0,14.94
Takab,36.4,47.11,47.67,35,12,12.33
Talnakh,69.49,88.39,-2.65,85,76,15.79
Taltal,-25.41,-70.49,48.48,93,0,0.29
Taoudenni,22.68,-3.98,45.33,44,0,16.28
Tari,12.41,4.49,66.57,40,0,13.78
Tashla,53.71,49.75,21.2,100,90,8.95
Tasiilaq,65.61,-37.64,19.4,73,0,13.87
Tautira,-17.73,-149.15,84.2,79,75,8.05
Te Anau,-45.41,167.72,64.18,45,56,12.93
Tebingtinggi,3.33,99.16,78.8,88,75,8.05
Tecpan,14.76,-90.99,64.4,77,75,13.87
Ternate,14.29,120.72,91.4,55,40,11.41
Tessalit,20.2,1.01,43.08,38,0,13.11
Thompson,55.74,-97.86,-31.01,66,20,4.7
Tiarei,-17.53,-149.33,84.2,79,75,8.05
Tiksi,71.64,128.87,-14.44,87,64,9.8
Toccoa,34.58,-83.33,50.04,100,1,3.36
Tongzi,28.78,105.09,58.51,79,8,4.38
Touros,-5.2,-35.46,76.47,98,80,7.11
Trelew,-43.25,-65.31,52.66,50,36,8.79
Troy,42.73,-73.69,34.12,74,20,24.16
Tual,-5.67,132.75,81.78,100,36,2.3
Tuatapere,-46.13,167.69,67.15,68,76,16.35
Tuktoyaktuk,69.44,-133.03,6.46,84,40,14.99
Tura,25.52,90.21,72.15,81,0,3.98
Tuy Hoa,13.08,109.3,74.8,97,92,23.17
Ucluelet,48.94,-125.55,19.86,99,68,1.97
Upernavik,72.79,-56.15,11.85,100,76,7.63
Uribia,11.71,-72.27,76.96,81,64,16.17
Ushtobe,45.25,77.98,39.12,72,20,4.83
Ushuaia,-54.81,-68.31,51.8,98,75,14.99
Ust-Kuyga,70.0,135.55,-25.96,78,56,6.89
Ust-Maya,60.42,134.54,-42.43,0,32,2.75
Ust-Nera,64.57,143.24,-53.27,0,32,2.04
Uvalde,29.21,-99.79,45.1,75,1,4.54
Valleyview,55.07,-117.28,12.61,80,48,10.92
Vanimo,-2.67,141.3,84.3,100,0,7.63
Vao,59.1,26.19,30.3,75,68,19.37
Vardo,39.62,-77.74,42.49,73,40,11.41
Velingara,13.64,-16.01,61.21,30,8,12.93
Victoria,5.28,115.24,82.4,83,75,10.29
Victoria Point,-27.58,153.3,86.63,58,20,20.8
Vila Franca do Campo,37.72,-25.43,62.6,82,20,8.05
Vila Velha,-3.71,-38.6,80.6,78,40,10.29
Vokhma,58.93,46.76,19.9,85,80,8.75
Wanning,48.64,13.53,42.8,81,75,20.8
Warr Acres,35.52,-97.62,29.73,92,90,9.17
Warrington,53.39,-2.59,49.44,87,0,14.99
Washougal,45.58,-122.35,32.29,59,1,18.34
Waynesville,37.83,-92.2,26.6,79,90,4.21
Yamada,36.58,137.08,57.2,35,75,11.41
Yellowknife,62.45,-114.38,-22.01,74,5,6.93
Yerbogachen,61.28,108.01,-22.22,32,0,3.76
Zeya,53.74,127.27,-13.27,58,0,2.26
Zheleznodorozhnyy,55.75,38.0,26.6,92,90,20.13
Zhigansk,66.77,123.37,-40.0,87,32,2.82
Zinder,13.81,8.99,59.23,46,0,14.94
